Артикул распродажи,Наименование,Бренд,Модель,Полная цена,Обычная цена,Цена распродажи,Скидка в %,Описание,Ссылка на товар,Изображение уцененного,Обычное изображение
425468153,Mio Tesoro,Стул,Симона DC-125-G062,179.0,93.87,104.3,48,"Новый, нет фурнитуры",https://www.21vek.by/chairs/dc125g062_mio_tesoro_02.html,https://cdn21vek.by/img/galleries/6743/545/sale/4198804/preview/6321112258796749908.jpg,https://cdn21vek.by/img/galleries/6743/545/preview/dc125g062_mio_tesoro_02_61eab8ac9efb3.jpeg
425467063,Sundays,Батут,SDT-TP105 D127,239.0,191.2,191.2,20,"Новый, нет двух резинок для крепления полотна.",https://www.21vek.by/tramps/sdttp105_sundays_01.html,https://cdn21vek.by/img/galleries/6825/739/sale/4196757/preview/8327782733552874069.jpg,https://cdn21vek.by/img/galleries/6825/739/preview/sdttp105_sundays_01_620303aa9d4ba.jpeg
425448788,Comtek,Массажер ручной,3001,69.0,51.75,51.75,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 20.04.2023г.",https://www.21vek.by/massagers/3001_comtek.html,https://cdn21vek.by/img/galleries/6228/992/sale/4178515/preview/5916629496817112233.jpg,https://cdn21vek.by/img/galleries/6228/992/preview/3001_comtek_5fa3edfc09b8c.jpeg
425448858,Comtek,Массажер ручной,3001,69.0,51.75,51.75,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 17.04.2023г.",https://www.21vek.by/massagers/3001_comtek.html,https://cdn21vek.by/img/galleries/6228/992/sale/4178495/preview/3873909573100756861.jpg,https://cdn21vek.by/img/galleries/6228/992/preview/3001_comtek_5fa3edfc09b8c.jpeg
425446068,Белшина,Летняя шина,Astarta Бел-273 235/60R16 100H (2016год),140.0,105.0,105.0,25,"Новая, небольшая деформация.",https://www.21vek.by/tires/artmotion27323560r16100h_belshina.html,https://cdn21vek.by/img/galleries/343/576/sale/4170419/preview/6815661791935084878.jpg,https://cdn21vek.by/img/galleries/343/576/preview/artmotion27323560r16100h_belshina_56cb110b7266f.jpeg
423287811,Цикл,Комплект беговых лыж,Ski Race 150/110,92.28,40.6,40.6,56,"Новые, нет одной защелки.",https://www.21vek.by/skis/skirace150110_cicle.html,https://cdn21vek.by/img/galleries/787/696/sale/3872742/preview/3884074107437476552.jpg,https://cdn21vek.by/img/galleries/787/696/preview/skirace150110_cicle_61c97710ef048.jpeg
425467028,Вихрь,Поверхностный насос,ПН-370,155.0,124.0,124.0,20,Трещина на проушине крепления насоса,https://www.21vek.by/household_pumps/370_vihr.html,https://cdn21vek.by/img/galleries/5811/95/sale/4196889/preview/1955838065479363750.jpg,https://cdn21vek.by/img/galleries/5811/95/preview/370_vihr_5e2e99380bc85.jpeg
425443663,Greenworks,Триммер электрический,GST2830,147.83,96.09,96.09,35,"Товар был в эксплуатации, после сервисного обслуживания. Потёртости, царапины, загрязнения.  Гарантия 1 год",https://www.21vek.by/trimmers/gst2830_greenworks.html,https://cdn21vek.by/img/galleries/451/812/sale/4163081/preview/4521475171614254747.jpg,https://cdn21vek.by/img/galleries/451/812/preview/gst2830_greenworks_5b91139fd0172.jpeg
425446083,Artway,Видеорегистратор-зеркало,AV-601,145.0,108.75,108.75,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 12.03.2023г.",https://www.21vek.by/dvr/av601_artway.html,https://cdn21vek.by/img/galleries/1067/630/sale/4170482/preview/5913824119534180948.jpg,https://cdn21vek.by/img/galleries/1067/630/preview/av601_artway_5d08f25c60215.jpeg
425465073,Violet,Корзина для белья,Ротанг / 235006,62.0,41.3,41.3,33,"Новая, потертости в нижней части корзины",https://www.21vek.by/storage_organizers/235006_violet.html,https://cdn21vek.by/img/galleries/5782/644/sale/4172565/preview/8765902155244025323.jpg,https://cdn21vek.by/img/galleries/5782/644/preview/235006_violet_5e8b087870a51.jpeg
425347903,Globen,Глобус интерактивный,Физико-политический рельефный / 13200291,96.7,55.12,55.12,43,"Новый, не работает подсветка. Без гарантии.",https://www.21vek.by/globes/13200291_globen.html,,https://cdn21vek.by/img/galleries/5987/556/preview/13200291_globen_5ebb94df79098.jpeg
425463363,BQ,Мобильный телефон,Respect BQ-1851,77.0,53.9,53.9,30,"Был в эксплуатации, после сервисного обслуживания (замена микрофона), потертости. Гарантия до 13.01.2023г.",https://www.21vek.by/mobile/respectbq1851_bq_01.html,https://cdn21vek.by/img/galleries/700/436/sale/4187701/preview/6001167378786605220.jpg,https://cdn21vek.by/img/galleries/700/436/preview/respectbq1851_bq_01_5baa379b7177a.png
425462938,Sundays,Игровой коврик,Цифры/Полянка / 393242,99.0,69.3,69.3,30,"Новый, нарушена заводская упаковка, загрязнения",https://www.21vek.by/activity_centres/393242_sundays.html,https://cdn21vek.by/img/galleries/6975/39/sale/4186894/preview/6293146801045465298.jpg,https://cdn21vek.by/img/galleries/6975/39/preview/393242_sundays_624b284379075.jpeg
425440488,MFMaster,Письменный стол,Уно-5 / МСТ-УСК-05-ВД-16,208.71,146.1,158.62,24,"Новый, потертость на кромке столешницы",https://www.21vek.by/office_desks/50516_mfmaster_035.html,https://cdn21vek.by/img/galleries/6438/364/sale/4157820/preview/689492156498358992.jpg,https://cdn21vek.by/img/galleries/6438/364/preview/50516_mfmaster_035_60532c818f26c.jpeg
425467438,MFMaster,Письменный стол,Уно-5 / МСТ-УСК-05-ВД-16,208.71,146.1,146.1,24,"Новый, сколы на двух деталях №9(фасад ящика)",https://www.21vek.by/office_desks/50516_mfmaster_035.html,https://cdn21vek.by/img/galleries/6438/364/sale/4198275/preview/2677172852831317703.jpg,https://cdn21vek.by/img/galleries/6438/364/preview/50516_mfmaster_035_60532c818f26c.jpeg
425443328,Ridex,Самокат,Route 200мм,299.77,269.79,269.79,10,"Новый, упаковка нетоварного вида.",https://www.21vek.by/kids_scooter/route200_ridex_01.html,https://cdn21vek.by/img/galleries/6250/841/sale/4162871/preview/6813400806244663403.jpg,https://cdn21vek.by/img/galleries/6250/841/preview/route200_ridex_01_605d9782524e5.jpeg
425447558,Ridex,Самокат,Route 200мм,299.77,269.79,269.79,10,"Новый, упаковка нетоварного вида.",https://www.21vek.by/kids_scooter/route200_ridex_01.html,https://cdn21vek.by/img/galleries/6250/841/sale/4162883/preview/272368776443671588.jpg,https://cdn21vek.by/img/galleries/6250/841/preview/route200_ridex_01_605d9782524e5.jpeg
423565483,Цикл,Комплект беговых лыж,Ski Race 130/100,83.76,39.37,39.37,53,"Новый, царапины, потертости.",https://www.21vek.by/skis/skirace130100_cicle.html,https://cdn21vek.by/img/galleries/787/695/sale/3925480/preview/5218966754064268782.jpg,https://cdn21vek.by/img/galleries/787/695/preview/skirace130100_cicle_61c97783c0ac5.jpeg
425435828,Ника,Санки детские,Тимка 5 Универсал / Т5У/Г2,91.51,53.08,53.08,42,"Новые, нет спинки  и ручки",https://www.21vek.by/sleds/552_nika_01.html,https://cdn21vek.by/img/galleries/65511/468/sale/4151899/preview/5695693722345523918.jpg,https://cdn21vek.by/img/galleries/65511/468/preview/552_nika_01_618a2d9b7d44b.jpeg
425415403,Ikea,Стул,Ингольф 803.601.35,212.55,161.54,161.54,24,"Новый, скол на углу сидения",https://www.21vek.by/chairs/80360135_ikea.html,https://cdn21vek.by/img/galleries/453/978/sale/4119115/preview/4435502692734023006.jpg,https://cdn21vek.by/img/galleries/453/978/preview/80360135_ikea_5924787a08d1e.jpeg
425331598,Лайт,Дверь межкомнатная,7 80x200,147.59,95.93,95.93,35,"Новая, трещины на одной полоске стекла. Гарантия полная.",https://www.21vek.by/interior_doors/780x200_lait_05.html,https://cdn21vek.by/img/galleries/580/237/sale/4075201/preview/3965517376832205082.jpg,https://cdn21vek.by/img/galleries/580/237/preview/780x200_lait_05_5add7f1d744b7.jpeg
423576507,Aimoto,Умные часы детские,Start 2 / 9900202,123.0,56.58,56.58,54,"Были в эксплуатации, после сервисного обслуживания, потертости. Гарантия до 15.12.2022г.",https://www.21vek.by/smart_watches/start29900202_aimoto.html,https://cdn21vek.by/img/galleries/6254/393/sale/3949739/preview/8163896322033478967.jpg,https://cdn21vek.by/img/galleries/6254/393/preview/start29900202_aimoto_5fae5775b9405.jpeg
425462858,Bon Mebel,Обеденный стол,Маркус,156.77,98.7,98.7,37,"Новый, скол на ножке, повреждение на кромке столешницы",https://www.21vek.by/tables/bon_mebel_041.html,https://cdn21vek.by/img/galleries/6655/337/sale/4186830/preview/2657434436358203946.jpg,https://cdn21vek.by/img/galleries/6655/337/preview/bon_mebel_041_60e847fabc71a.jpeg
